trivial, nontrivial, cycles, bl, routed, usage
4, 4, 50, 2, 2, 0.111111
4, 4, 49, 1, 3, 0.166667
4, 4, 37, 1, 3, 0.138889
2, 6, 56, 2, 4, 0.111111
2, 6, 56, 2, 4, 0.111111
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 20, 0, 2, 0.222222
4, 4, 24, 1, 2, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
2, 6, 78, 1, 5, 0.222222
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
3, 5, 49, 1, 4, 0.166667
4, 4, 31, 0, 4, 0.222222
4, 4, 54, 1, 3, 0.166667
5, 3, 33, 1, 2, 0.138889
4, 4, 50, 2, 2, 0.111111
4, 4, 49, 1, 3, 0.166667
4, 4, 37, 1, 3, 0.138889
2, 6, 62, 2, 4, 0.138889
2, 6, 56, 2, 4, 0.111111
3, 5, 44, 0, 5, 0.277778
3, 5, 44, 0, 5, 0.277778
3, 5, 44, 0, 5, 0.277778
5, 3, 26, 0, 3, 0.194444
4, 4, 54, 1, 2, 0.194444
4, 4, 50, 2, 1, 0.111111
4, 4, 45, 1, 3, 0.166667
3, 5, 49, 1, 4, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
2, 6, 78, 1, 5, 0.222222
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
3, 5, 49, 1, 4, 0.166667
4, 4, 31, 0, 4, 0.222222
4, 4, 54, 1, 3, 0.166667
5, 3, 33, 1, 2, 0.138889
4, 4, 50, 2, 2, 0.111111
4, 4, 49, 1, 3, 0.166667
4, 4, 37, 1, 3, 0.138889
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
2, 6, 78, 1, 5, 0.222222
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
3, 5, 49, 1, 4, 0.166667
4, 4, 31, 0, 4, 0.222222
4, 4, 54, 1, 3, 0.166667
5, 3, 33, 1, 2, 0.138889
4, 4, 50, 2, 2, 0.111111
4, 4, 49, 1, 3, 0.166667
4, 4, 37, 1, 3, 0.138889
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
2, 6, 62, 2, 4, 0.138889
2, 6, 56, 2, 4, 0.111111
3, 5, 44, 0, 5, 0.277778
3, 5, 44, 0, 5, 0.277778
3, 5, 44, 0, 5, 0.277778
5, 3, 26, 0, 3, 0.194444
4, 4, 54, 1, 2, 0.194444
4, 4, 50, 2, 1, 0.111111
4, 4, 45, 1, 3, 0.166667
3, 5, 49, 1, 4, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
3, 5, 49, 1, 4, 0.166667
4, 4, 31, 0, 4, 0.222222
4, 4, 54, 1, 3, 0.166667
5, 3, 33, 1, 2, 0.138889
4, 4, 50, 2, 2, 0.111111
4, 4, 49, 1, 3, 0.166667
4, 4, 37, 1, 3, 0.138889
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
2, 6, 56, 2, 4, 0.111111
2, 6, 56, 2, 4, 0.111111
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 20, 0, 2, 0.222222
4, 4, 24, 1, 2, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
2, 6, 56, 2, 4, 0.111111
2, 6, 56, 2, 4, 0.111111
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 20, 0, 2, 0.222222
4, 4, 24, 1, 2, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
2, 6, 62, 2, 4, 0.138889
2, 6, 56, 2, 4, 0.111111
3, 5, 44, 0, 5, 0.277778
3, 5, 44, 0, 5, 0.277778
3, 5, 44, 0, 5, 0.277778
5, 3, 26, 0, 3, 0.194444
4, 4, 54, 1, 2, 0.194444
4, 4, 50, 2, 1, 0.111111
4, 4, 45, 1, 3, 0.166667
3, 5, 49, 1, 4, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
3, 5, 49, 1, 4, 0.166667
4, 4, 31, 0, 4, 0.222222
4, 4, 54, 1, 3, 0.166667
5, 3, 33, 1, 2, 0.138889
4, 4, 50, 2, 2, 0.111111
4, 4, 49, 1, 3, 0.166667
4, 4, 37, 1, 3, 0.138889
2, 6, 56, 2, 4, 0.111111
2, 6, 56, 2, 4, 0.111111
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 20, 0, 2, 0.222222
4, 4, 24, 1, 2, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
2, 6, 56, 2, 4, 0.111111
2, 6, 56, 2, 4, 0.111111
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 20, 0, 2, 0.222222
4, 4, 24, 1, 2, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
2, 6, 78, 1, 5, 0.222222
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
3, 5, 49, 1, 4, 0.166667
4, 4, 31, 0, 4, 0.222222
4, 4, 54, 1, 3, 0.166667
5, 3, 33, 1, 2, 0.138889
4, 4, 50, 2, 2, 0.111111
4, 4, 49, 1, 3, 0.166667
4, 4, 37, 1, 3, 0.138889
3, 5, 46, 0, 5, 0.250000
3, 5, 46, 0, 5, 0.250000
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 24, 0, 3, 0.222222
4, 4, 28, 1, 3, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
2, 6, 56, 2, 4, 0.111111
2, 6, 56, 2, 4, 0.111111
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
4, 4, 31, 0, 4, 0.222222
5, 3, 26, 0, 3, 0.194444
5, 3, 20, 0, 2, 0.222222
4, 4, 24, 1, 2, 0.166667
5, 3, 21, 0, 3, 0.194444
4, 4, 40, 1, 3, 0.166667
2, 6, 62, 2, 4, 0.138889
2, 6, 56, 2, 4, 0.111111
3, 5, 44, 0, 5, 0.277778
3, 5, 44, 0, 5, 0.277778
3, 5, 44, 0, 5, 0.277778
5, 3, 26, 0, 3, 0.194444
4, 4, 54, 1, 2, 0.194444
4, 4, 50, 2, 1, 0.111111
4, 4, 45, 1, 3, 0.166667
3, 5, 49, 1, 4, 0.166667
